axis,fine_path,fine_label,fine_pitch_mm,coarse_path,coarse_label,coarse_pitch_mm,knot_spacing_mm,knots,support_min_mm,support_max_mm,max_knot_offset_mm,mean_abs_difference_mm_s,median_abs_difference_mm_s,max_abs_difference_mm_s,max_abs_difference_depth_mm,knots_above_screening_threshold,fraction_above_screening_threshold,max_abs_difference_over_screening_threshold,depth_ranges_above_screening_threshold_mm,fine_variance_share_at_coarse_knots,fine_detail_rms_mm_s,fine_detail_max_abs_mm_s,fine_detail_variance_share
res,res/1-2.BDD,1-2,1.23333333333,res/1-8.BDD,1-8,1.85,1.85,47,10.1626666667,96.7426666667,0.616666666667,4.89787361581,4.61408848436,10.5844100902,45.3126666667,0,0,0.546430862691,,0.930163960213,1.62656619452,6.20681777289,0.00523300070475
res,res/1-2.BDD,1-2,1.23333333333,res/2-0.BDD,2-0,1.97333333333,1.97333333333,44,10.1626666667,96.7426666667,0.493333333333,6.67476427047,7.13952969716,14.3200842396,43.7093333333,0,0,0.739288814229,,0.94355479498,1.51023308562,6.17061937997,0.00454701343804
res,res/1-2.BDD,1-2,1.23333333333,res/2-2.BDD,2-2,2.22,2.22,40,10.1626666667,96.7426666667,0.493333333333,5.73828990718,4.98934515764,14.7858368952,47.9026666667,0,0,0.763333765551,,1.02826663085,1.53776910888,6.20681777289,0.00475905280212
res,res/1-2.BDD,1-2,1.23333333333,res/2-5.BDD,2-5,2.46666666667,2.46666666667,36,10.1626666667,96.7426666667,0,4.52285512738,4.06628613815,10.8160798049,47.1626666667,0,0,0.558391045732,,1.048381465,2.06180704263,7.79713383523,0.00854561240484
res,res/1-2.BDD,1-2,1.23333333333,res/3-0.BDD,3-0,2.96,2.96,30,10.1626666667,96.7426666667,0.493333333333,3.28761848598,2.33600295652,7.92503482355,39.7626666667,0,0,0.409137928198,,1.00952449556,2.47635328487,11.1491050197,0.0123428720718
res,res/1-4.BDD,1-4,1.35666666667,res/1-6.BDD,1-6,1.60333333333,1.60333333333,55,10.1626666667,96.7426666667,0.616666666667,5.59517462462,5.44906474774,14.6555226807,39.0226666667,0,0,0.756606162591,,1.05890608236,1.84477297387,12.6404788081,0.00688333307911
res,res/1-4.BDD,1-4,1.35666666667,res/1-8.BDD,1-8,1.85,1.85,47,10.1626666667,96.7426666667,0.616666666667,4.64017186536,3.84185610204,11.7403454374,84.1626666667,0,0,0.606107192657,,0.993715621073,1.58924750058,6.15131357041,0.00496456319213
res,res/1-4.BDD,1-4,1.35666666667,res/2-0.BDD,2-0,1.97333333333,1.97333333333,44,10.1626666667,96.7426666667,0.616666666667,6.28173747703,4.6394273594,14.0739351678,22.0026666667,0,0,0.726581119748,,0.985536214874,1.68502160901,6.15131357041,0.00575776034767
res,res/1-4.BDD,1-4,1.35666666667,res/2-2.BDD,2-2,2.22,2.22,40,10.1626666667,96.7426666667,0.616666666667,3.58732106915,3.55830202416,8.73346559879,85.6426666667,0,0,0.450873983602,,1.06989989868,1.65740634851,5.55524670031,0.00556813109275
res,res/1-4.BDD,1-4,1.35666666667,res/2-5.BDD,2-5,2.46666666667,2.46666666667,36,10.1626666667,96.7426666667,0.616666666667,3.67547756272,3.57157476823,7.85022481151,29.896,0,0,0.405275785758,,1.05809792456,1.76362538135,5.19808922349,0.00626423999952
res,res/1-4.BDD,1-4,1.35666666667,res/3-0.BDD,3-0,2.96,2.96,30,10.1626666667,96.7426666667,0.616666666667,4.01311472099,4.28830294807,8.77931689649,33.8426666667,0,0,0.453241103162,,1.06510509468,2.69453723605,12.6404788081,0.0144823663822
res,res/1-6.BDD,1-6,1.60333333333,res/1-8.BDD,1-8,1.85,1.85,47,10.1626666667,96.7426666667,0.74,3.24039798193,2.92483014803,9.38021021898,89.7126666667,0,0,0.484262827925,,0.911899499087,1.77062792492,8.89273852765,0.00673101407919
res,res/1-6.BDD,1-6,1.60333333333,res/2-0.BDD,2-0,1.97333333333,1.97333333333,44,10.1626666667,96.7426666667,0.74,3.86889520463,3.9963025785,9.17508599243,93.0426666667,0,0,0.473673082524,,0.879703207203,1.65685679056,7.89607610921,0.00605733318099
res,res/1-6.BDD,1-6,1.60333333333,res/2-2.BDD,2-2,2.22,2.22,40,10.1626666667,96.7426666667,0.74,4.22574005897,4.35104682913,8.52351491985,39.0226666667,0,0,0.440035067721,,1.00378777412,2.03903328318,8.89273852765,0.00901283113681
res,res/1-6.BDD,1-6,1.60333333333,res/2-5.BDD,2-5,2.46666666667,2.46666666667,36,10.1626666667,96.7426666667,0.74,4.25552329225,3.33990505353,11.7934364137,37.296,0,0,0.608848067937,,1.02722881011,2.28315122634,9.67703704094,0.0110669488433
res,res/1-6.BDD,1-6,1.60333333333,res/3-0.BDD,3-0,2.96,2.96,30,10.1626666667,96.7426666667,0.74,3.21087789298,3.04790468397,10.4323768399,45.6826666667,0,0,0.53858199257,,1.00568480383,2.27782683036,8.55247363419,0.0114222920203
res,res/1-8.BDD,1-8,1.85,res/2-0.BDD,2-0,1.97333333333,1.97333333333,44,10.1626666667,96.7426666667,0.863333333333,2.58429102433,2.40236667687,5.80863545076,22.0026666667,0,0,0.299876672708,,1.03724344025,0.675188218794,3.84185610204,0.0012290980485
res,res/1-8.BDD,1-8,1.85,res/2-2.BDD,2-2,2.22,2.22,40,10.1626666667,96.7426666667,0.74,3.19438751399,2.26360617067,9.30781343314,23.4826666667,0,0,0.480525270725,,1.09148250248,1.03999999852,5.28737859269,0.00270800603355
res,res/1-8.BDD,1-8,1.85,res/2-5.BDD,2-5,2.46666666667,2.46666666667,36,10.1626666667,96.7426666667,0.616666666667,2.91095409741,2.65575542732,9.04718500411,86.6293333333,0,0,0.467070064804,,1.07592795117,1.85183251081,8.178423574,0.00926540279805
res,res/1-8.BDD,1-8,1.85,res/3-0.BDD,3-0,2.96,2.96,30,10.1626666667,96.7426666667,0.74,2.63628873602,2.55681315334,7.72956350178,90.0826666667,0,0,0.399046523757,,1.09363515297,3.49942315616,14.1752906679,0.0324709356713
res,res/2-0.BDD,2-0,1.97333333333,res/2-2.BDD,2-2,2.22,2.22,40,10.1626666667,96.7426666667,0.986666666667,4.28233021323,2.56887928431,14.3442165016,21.2626666667,0,0,0.740534666629,,1.12926353442,1.4628815983,8.74794495596,0.00651895744075
res,res/2-0.BDD,2-0,1.97333333333,res/2-5.BDD,2-5,2.46666666667,2.46666666667,36,10.1626666667,96.7426666667,0.986666666667,3.68459419501,2.06451500961,9.63842542182,12.6293333333,0,0,0.497593448607,,1.119090098,1.36594290602,6.3395452136,0.00602499086025
res,res/2-0.BDD,2-0,1.97333333333,res/3-0.BDD,3-0,2.96,2.96,30,10.1626666667,96.7426666667,0.986666666667,3.64710874812,3.31456617849,8.57660589613,19.0426666667,0,0,0.442775943001,,1.11624019461,2.05750258377,8.74794495596,0.0136213056634
res,res/2-2.BDD,2-2,2.22,res/2-5.BDD,2-5,2.46666666667,2.46666666667,36,10.1626666667,96.7426666667,0.986666666667,3.38870584991,2.95620208857,7.93468772833,86.6293333333,0,0,0.409636269158,,1.00004848006,1.81819106251,10.644740745,0.00673898361378
res,res/2-2.BDD,2-2,2.22,res/3-0.BDD,3-0,2.96,2.96,30,10.1626666667,96.7426666667,0.74,3.28705539987,3.05514436255,8.04328290709,48.6426666667,0,0,0.415242604959,,0.980554440554,2.93446605996,13.5864634764,0.0174438455291
res,res/2-5.BDD,2-5,2.46666666667,res/3-0.BDD,3-0,2.96,2.96,30,10.1626666667,96.7426666667,0.986666666667,2.86055789038,2.54836686165,9.01098661119,90.0826666667,0,0,0.465201286204,,0.985298180365,2.91281458374,12.8069914155,0.0186729478593
