axis,short_path,short_label,short_cycles,long_path,long_label,long_cycles,cycle_gap,knots,knot_spacing_mm,max_knot_offset_mm,mean_abs_difference_mm_s,max_abs_difference_mm_s,max_abs_difference_depth_mm,knots_above_envelope,max_abs_difference_over_envelope,depth_ranges_above_envelope_mm,correlation_length_change_mm,gradient_median_change_mm_s_per_mm,robust_spread_change_mm_s,zero_fraction_change,hf_share_change,acf_e_folding_lag_change_s
burst_len,burst_len/18.BDD,18,18,burst_len/20.BDD,20,20,2,50,1.85,0,5.50255962188,11.751918176,91.5626666667,0,0.606704646976,,1.85,-0.321506476166,2.0610343949,-0.00080971659919,-0.00276661314806,0
burst_len,burst_len/18.BDD,18,18,burst_len/24.BDD,24,24,6,50,1.85,0,3.86947933505,8.64635008719,74.9126666667,0,0.446376557316,,0,-0.112000206861,-2.52967290752,0.00105263157895,-0.0111017486683,0
burst_len,burst_len/18.BDD,18,18,burst_len/28.BDD,28,28,10,50,1.85,0,5.30603615303,31.8430423425,10.1626666667,1,1.64392922702,10.1627..10.1627,0,0.108047258383,-1.52414163857,0.011983805668,-0.0145472704573,0
burst_len,burst_len/18.BDD,18,18,burst_len/32.BDD,32,32,14,50,1.85,0,5.73194263378,15.9422412095,10.1626666667,0,0.823034306414,,1.85,-0.167341485545,2.52723525596,0.00408906882591,-0.0102225754665,0.0223892238794
burst_len,burst_len/20.BDD,20,20,burst_len/24.BDD,24,24,4,50,1.85,0,6.75799892888,13.0024334269,32.3626666667,0,0.671263760002,,-1.85,0.209506269305,-4.59070730243,0.00186234817814,-0.00833513552019,0
burst_len,burst_len/20.BDD,20,20,burst_len/28.BDD,28,28,8,50,1.85,0,7.76435899936,32.8571053919,10.1626666667,1,1.69628125629,10.1627..10.1627,-1.85,0.429553734549,-3.58517603348,0.0127935222672,-0.0117806573092,0
burst_len,burst_len/20.BDD,20,20,burst_len/32.BDD,32,32,12,50,1.85,0,4.45354064908,16.956304259,10.1626666667,0,0.87538633569,,0,0.15416499062,0.466200861059,0.0048987854251,-0.00745596231841,0.0223892238794
burst_len,burst_len/24.BDD,24,24,burst_len/28.BDD,28,28,4,50,1.85,0,4.40883411945,25.7342875304,10.1626666667,1,1.32855858911,10.1627..10.1627,0,0.220047465244,1.00553126895,0.0109311740891,-0.00344552178902,0
burst_len,burst_len/24.BDD,24,24,burst_len/32.BDD,32,32,8,50,1.85,0,4.67746332148,11.3326421075,76.7626666667,0,0.585059096409,,1.85,-0.0553412786843,5.05690816348,0.00303643724696,0.000879173201786,0.0223892238794
burst_len,burst_len/28.BDD,28,28,burst_len/32.BDD,32,32,4,50,1.85,0,4.83006030921,16.6223459951,45.3126666667,0,0.858145402972,,1.85,-0.275388743929,4.05137689453,-0.00789473684211,0.0043246949908,0.0223892238794
